image_name_1,year,location,title,tags,description,description_id,object,object_id
Drummonds Mill Bradford-DRUMMONDS 1991-31apress.jpg,1991,Drummonds Mill,,,TRUE,"A middle aged man wearing a blazer with partial label ""Drummo"" on the pocket reading a punch card. Spools of thread are in labeled and numbered cubby storage shelving behind the man.",TRUE,electric kettle
Drummonds Mill Bradford-DRUMMONDS 1991-32a.jpg,1991,Drummonds Mill,,,TRUE,"A wall in an industrial building. Above is mounted a sign showing a cartoon of a man with his fingers in his ears and the writing ""USE EAR PROTECTORS"". Pinned beside is a calendar page advertising ""F. Barraclough Ltd Suppliers of Fish and Poultry Products"" with a photo of a topless female model. There is a noticeboard with several documents pinned to it. Pinned to the frame of the noticeboard is a handwritten page saying ""OWING TO THE ECONOMIC CLIMATE THE LIGHT AT THE END OF THE TUNNEL HAS BEEN SWITCHED OFF UNTIL FURTHER NOTICE"". Further to the left of the sign is an underlined word that partially reads in block letters ""IN VENT "". There is a pamphlet that reads "" DO NOT REMOVE"" and another piece of paper reads ""Rise Made to Feel Like Part of the Set Up"". A small piece of paper reads ""Borepiti"", other papers are hanging there but are not legible. There is a shelf that is holding various sizes of cogs and sprockets going from smallest to largest and next to those to the right is a trash can. There are windows above the calendar. ",TRUE,woven textiles
Drummonds Mill Bradford-DRUMMONDS 1991-36.jpg,1991,Drummonds Mill,,,TRUE,A middle-aged man and woman standing close and talking facing each other. They are standing in a industrial warehouse. Looms are visible in the foreground. ,TRUE,textiles; machine
Drummonds Mill Bradford-DRUMMONDS 1991-36apress.jpg,1991,Drummonds Mill,,,TRUE,A women working with a garment while wearing a head torch.,TRUE,machine
Drummonds Mill Bradford-DRUMMONDS 2001-16apress.jpg,2001,Drummonds Mill,,,TRUE,A man stitches through four rectangular plates. Row of spools of thread appear behind him.,TRUE,wires
Drummonds Mill Bradford-DRUMMONDS 2001-20a.jpg,2001,Drummonds Mill,,,TRUE,"An older man measuring a length of string on a wooden piece of equipment. He is wearing a jacket with a large ""Drummond Quality Design"" patch on the front pocket a wedding ring and a watch on his left wrist.",TRUE,tags
Drummonds Mill Bradford-Drummonds fire-3756-4401.jpg,2016,Drummonds Mill,,,TRUE,"A burnt out yellow brick building with the remains of a sign reading ""Drummond"" in white lettering. The last letter of the sign is partly missing the bricks at the top of the building are collapsing and burned timbers are visible above the brick wall and through two holes where windows once were.",FALSE,
Drummonds Mill Bradford-Drummonds fire-3756a-9647.jpg,2016,Drummonds Mill,Demolition crew clearing the site of Drummonds Mill after the fire that devastated the mill complex in January 2016. Photo by Tim Smith.,,TRUE,A man in a hard hat and protective clothing walks on a partially demolished building in front of a digger arm lifting some debris,FALSE,
Drummonds Mill Bradford-Drummonds ruins-4083-3597.jpg,2016,Drummonds Mill,,,TRUE,Birdseye view of an empty grass lot with multiple buildings visible in the background. A road runs through the foreground.,FALSE,
Drummonds Mill Bradford-Drummonds ruins-4083-3600.jpg,2016,Drummonds Mill,,,TRUE,A derelict building on the left side with a large chimney in the middle with another building behind. There is a crane in the background. In the foreground there are iron railings with a warning sign on them.,FALSE,
Drummonds Mill Bradford-Drummonds ruins-4083-3602.jpg,2016,Drummonds Mill,,,TRUE,An overgrown factory building with a tall chimney. A row of bare trees are in the distance. In the foreground is the remaining wall of a stone building with an ornate arched window frame and a lot of trash on the floor.,FALSE,
Drummonds Mill Bradford-Drummonds ruins-4083-3606.jpg,2016,Drummonds Mill,,,TRUE,The front door of a house among ruins of the rest of the building.The sky is gray and cloudy. ,FALSE,
Drummonds Mill Bradford-tex drummonds glasses 7.jpg,,Drummonds Mill,,,TRUE,A close up of a person's face wearing a headband with a pair of viewing lenses attached. The viewing apparatus is over their eyes. ,FALSE,
Drummonds Mill Bradford-tex punching cardspress.jpg,,Drummonds Mill,"Punching out pattern cards using a design produced by a textile designer. These cards are used to programme the pattern woven by a loom, at Drummonds MIll. Photo by Tim Smith.",Bradford; Drummonds Mill; Lumb Lane; Making up patterns in the pattern room at Drummond's Lumb Lane Mills during 2003; textile industry; textiles; the last year of production of textiles at one of Bradford's iconic firms.; Making up patterns in the pattern room at Drummond's Lumb Lane M; the last year of production of textiles at one of Bradford's ico; ,TRUE,A man is seated in front of a machine looking at it. Above the machine are two mounted instructive guides with patterns of dots. The man holds a long strip of paper with a pattern of holes punched in it. To his left are black shelves with spools on them.,TRUE,weaving textile machine
Drummonds Mill Bradford-tex threads 3press.jpg,,Drummonds Mill,,,TRUE,A man in the foreground runs his fingers along one of many strung lines of string. A woman does the same on the other side of the string in the background,FALSE,
